image_right,image_left,lat,long,travel_bearing
streetview_293_right.jpg,streetview_293_left.jpg,37.73328295,-122.4588684,67.2
streetview_294_right.jpg,streetview_294_left.jpg,37.74749666,-122.4160412,182.7
streetview_295_right.jpg,streetview_295_left.jpg,37.73512321,-122.4167902,327.0
streetview_296_right.jpg,streetview_296_left.jpg,37.76136271,-122.4383179,192.4
streetview_297_right.jpg,streetview_297_left.jpg,37.71880914,-122.4501195,297.9
streetview_298_right.jpg,streetview_298_left.jpg,37.73681087,-122.4931654,77.4
streetview_299_right.jpg,streetview_299_left.jpg,37.75280703,-122.4023836,227.3
streetview_300_right.jpg,streetview_300_left.jpg,37.73600605,-122.425398,311.2
streetview_301_right.jpg,streetview_301_left.jpg,37.77930095,-122.4878869,187.4
streetview_302_right.jpg,streetview_302_left.jpg,37.72987022,-122.4959533,78.8
streetview_303_right.jpg,streetview_303_left.jpg,37.7389179,-122.4382954,232.3
streetview_304_right.jpg,streetview_304_left.jpg,37.71905437,-122.4707338,93.5
streetview_305_right.jpg,streetview_305_left.jpg,37.71788193,-122.4464871,327.6
streetview_306_right.jpg,streetview_306_left.jpg,37.7728946,-122.4906499,137.0
streetview_307_right.jpg,streetview_307_left.jpg,37.75615357,-122.4709311,103.0
streetview_308_right.jpg,streetview_308_left.jpg,37.74718757,-122.4220456,279.0
streetview_309_right.jpg,streetview_309_left.jpg,37.74988862,-122.4436344,266.2
streetview_310_right.jpg,streetview_310_left.jpg,37.74721505,-122.4942419,103.4
streetview_311_right.jpg,streetview_311_left.jpg,37.73556736,-122.4324977,121.7
streetview_312_right.jpg,streetview_312_left.jpg,37.72054315,-122.4017401,292.9
streetview_313_right.jpg,streetview_313_left.jpg,37.74078556,-122.4624647,17.1
streetview_314_right.jpg,streetview_314_left.jpg,37.77414431,-122.4494415,231.2
streetview_315_right.jpg,streetview_315_left.jpg,37.74197085,-122.4999638,69.5
streetview_316_right.jpg,streetview_316_left.jpg,37.75404095,-122.4591098,114.2
streetview_317_right.jpg,streetview_317_left.jpg,37.7462745,-122.4372759,354.3
streetview_318_right.jpg,streetview_318_left.jpg,37.77836633,-122.4413028,118.0
streetview_319_right.jpg,streetview_319_left.jpg,37.76069696,-122.3992505,221.1
streetview_320_right.jpg,streetview_320_left.jpg,37.7234605,-122.4402417,98.5
streetview_321_right.jpg,streetview_321_left.jpg,37.71872089,-122.4003171,300.8
streetview_322_right.jpg,streetview_322_left.jpg,37.72604113,-122.4158628,257.0
streetview_323_right.jpg,streetview_323_left.jpg,37.71732791,-122.4635231,305.8
streetview_324_right.jpg,streetview_324_left.jpg,37.73880682,-122.5011734,70.6
streetview_325_right.jpg,streetview_325_left.jpg,37.75779426,-122.4328411,220.1
streetview_326_right.jpg,streetview_326_left.jpg,37.7288477,-122.4636611,146.9
streetview_327_right.jpg,streetview_327_left.jpg,37.71130929,-122.4492327,5.7
streetview_328_right.jpg,streetview_328_left.jpg,37.78717945,-122.4396817,196.6
streetview_329_right.jpg,streetview_329_left.jpg,37.78144129,-122.4418452,148.4
streetview_330_right.jpg,streetview_330_left.jpg,37.72955928,-122.4014434,335.2
streetview_331_right.jpg,streetview_331_left.jpg,37.8047362,-122.4455106,180.6
streetview_332_right.jpg,streetview_332_left.jpg,37.73097863,-122.4465632,13.7
streetview_333_right.jpg,streetview_333_left.jpg,37.79432372,-122.4270501,204.1
streetview_334_right.jpg,streetview_334_left.jpg,37.77599236,-122.4374205,155.3
streetview_335_right.jpg,streetview_335_left.jpg,37.74651612,-122.4202699,284.8
streetview_336_right.jpg,streetview_336_left.jpg,37.7606015,-122.4876534,84.7
streetview_337_right.jpg,streetview_337_left.jpg,37.76206754,-122.4675877,153.7
streetview_338_right.jpg,streetview_338_left.jpg,37.7163086,-122.4389727,293.6
